"Gender","Height","Weight","Index","Min_Calorie","Max_Calorie"
"Male",174,96,"4",NA,NA
"Male",189,87,"2",NA,NA
"Female",185,110,"4",NA,NA
"Female",195,104,"3",NA,NA
"Male",149,61,"3",NA,NA
"Male",189,104,"3",NA,NA
"Male",147,92,"5",NA,NA
"Male",154,111,"5",NA,NA
"Male",174,90,"3",NA,NA
"Female",169,103,"4",NA,NA
"Male",195,81,"2",NA,NA
"Female",159,80,"4",NA,NA
"Female",192,101,"3",NA,NA
"Male",155,51,"2",NA,NA
"Male",191,79,"2",NA,NA
"Female",153,107,"5",NA,NA
"Female",157,110,"5",NA,NA
"Male",140,129,"5",NA,NA
"Male",144,145,"5",NA,NA
"Male",172,139,"5",NA,NA
"Male",157,110,"5",NA,NA
"Female",153,149,"5",NA,NA
"Female",169,97,"4",NA,NA
"Male",185,139,"5",NA,NA
"Female",172,67,"2",NA,NA
"Female",151,64,"3",NA,NA
"Male",190,95,"3",NA,NA
"Male",187,62,"1",NA,NA
"Female",163,159,"5",NA,NA
"Male",179,152,"5",NA,NA
"Male",153,121,"5",NA,NA
"Male",178,52,"1",NA,NA
"Female",195,65,"1",NA,NA
"Female",160,131,"5",NA,NA
"Female",157,153,"5",NA,NA
"Female",189,132,"4",NA,NA
"Female",197,114,"3",NA,NA
"Male",144,80,"4",NA,NA
"Female",171,152,"5",NA,NA
"Female",185,81,"2",NA,NA
"Female",175,120,"4",NA,NA
"Female",149,108,"5",NA,NA
"Male",157,56,"2",NA,NA
"Male",161,118,"5",NA,NA
"Female",182,126,"4",NA,NA
"Male",185,76,"2",NA,NA
"Female",188,122,"4",NA,NA
"Male",181,111,"4",NA,NA
"Male",161,72,"3",NA,NA
"Male",140,152,"5",NA,NA
"Female",168,135,"5",NA,NA
"Female",176,54,"1",NA,NA
"Male",163,110,"5",NA,NA
"Male",172,105,"4",NA,NA
"Male",196,116,"4",NA,NA
"Female",187,89,"3",NA,NA
"Male",172,92,"4",NA,NA
"Male",178,127,"5",NA,NA
"Female",164,70,"3",NA,NA
"Male",143,88,"5",NA,NA
"Female",191,54,"0",NA,NA
"Female",141,143,"5",NA,NA
"Male",193,54,"0",NA,NA
"Male",190,83,"2",NA,NA
"Male",175,135,"5",NA,NA
"Female",179,158,"5",NA,NA
"Female",172,96,"4",NA,NA
"Female",168,59,"2",NA,NA
"Female",164,82,"4",NA,NA
"Female",194,136,"4",NA,NA
"Female",153,51,"2",NA,NA
"Male",178,117,"4",NA,NA
"Male",141,80,"5",NA,NA
"Male",180,75,"2",NA,NA
"Female",185,100,"3",NA,NA
"Female",197,154,"4",NA,NA
"Male",165,104,"4",NA,NA
"Female",168,90,"4",NA,NA
"Female",176,122,"4",NA,NA
"Male",181,51,"0",NA,NA
"Male",164,75,"3",NA,NA
"Female",166,140,"5",NA,NA
"Female",190,105,"3",NA,NA
"Male",186,118,"4",NA,NA
"Male",168,123,"5",NA,NA
"Male",198,50,"0",NA,NA
"Female",175,141,"5",NA,NA
"Male",145,117,"5",NA,NA
"Female",159,104,"5",NA,NA
"Female",185,140,"5",NA,NA
"Female",178,154,"5",NA,NA
"Female",183,96,"3",NA,NA
"Female",194,111,"3",NA,NA
"Male",177,61,"2",NA,NA
"Male",197,119,"4",NA,NA
"Female",170,156,"5",NA,NA
"Male",142,69,"4",NA,NA
"Male",160,139,"5",NA,NA
"Male",195,69,"1",NA,NA
"Female",190,50,"0",NA,NA
"Male",199,156,"4",NA,NA
"Male",154,105,"5",NA,NA
"Male",161,155,"5",NA,NA
"Female",198,145,"4",NA,NA
"Female",192,140,"4",NA,NA
"Male",195,126,"4",NA,NA
"Male",166,160,"5",NA,NA
"Male",159,154,"5",NA,NA
"Female",181,106,"4",NA,NA
"Male",149,66,"3",NA,NA
"Female",150,70,"4",NA,NA
"Female",146,157,"5",NA,NA
"Male",190,135,"4",NA,NA
"Female",192,90,"2",NA,NA
"Female",177,96,"4",NA,NA
"Male",148,60,"3",NA,NA
"Female",165,57,"2",NA,NA
"Female",146,104,"5",NA,NA
"Male",144,108,"5",NA,NA
"Female",176,156,"5",NA,NA
"Female",168,87,"4",NA,NA
"Male",187,122,"4",NA,NA
"Male",187,138,"4",NA,NA
"Female",184,160,"5",NA,NA
"Female",158,149,"5",NA,NA
"Male",158,96,"4",NA,NA
"Male",194,115,"4",NA,NA
"Female",145,79,"4",NA,NA
"Male",182,151,"5",NA,NA
"Male",154,54,"2",NA,NA
"Female",168,139,"5",NA,NA
"Female",187,70,"2",NA,NA
"Female",158,153,"5",NA,NA
"Female",167,110,"4",NA,NA
"Female",171,155,"5",NA,NA
"Female",183,150,"5",NA,NA
"Female",190,156,"5",NA,NA
"Male",194,108,"3",NA,NA
"Male",171,147,"5",NA,NA
"Male",159,124,"5",NA,NA
"Female",169,54,"2",NA,NA
"Female",167,85,"4",NA,NA
"Male",180,149,"5",NA,NA
"Male",163,123,"5",NA,NA
"Male",140,79,"5",NA,NA
"Male",197,125,"4",NA,NA
"Male",194,106,"3",NA,NA
"Female",140,146,"5",NA,NA
"Male",195,98,"3",NA,NA
"Female",168,115,"3",NA,NA
"Female",196,50,"0",NA,NA
"Male",140,52,"3",NA,NA
"Female",150,60,"3",NA,NA
"Female",168,140,"5",NA,NA
"Female",155,111,"5",NA,NA
"Female",179,103,"4",NA,NA
"Female",182,84,"3",NA,NA
"Male",168,160,"5",NA,NA
"Female",187,102,"3",NA,NA
"Male",181,105,"4",NA,NA
"Male",199,99,"2",NA,NA
"Female",184,76,"2",NA,NA
"Male",192,101,"3",NA,NA
"Female",182,143,"5",NA,NA
"Female",172,111,"4",NA,NA
"Male",181,78,"2",NA,NA
"Male",176,109,"4",NA,NA
"Female",156,106,"5",NA,NA
"Female",151,67,"3",NA,NA
"Female",188,80,"2",NA,NA
"Male",187,136,"4",NA,NA
"Male",174,138,"5",NA,NA
"Male",167,151,"5",NA,NA
"Female",196,131,"4",NA,NA
"Male",197,149,"4",NA,NA
"Female",185,119,"4",NA,NA
"Female",170,102,"4",NA,NA
"Female",181,94,"3",NA,NA
"Female",166,126,"5",NA,NA
"Male",188,100,"3",NA,NA
"Female",162,74,"3",NA,NA
"Male",177,117,"4",NA,NA
"Male",162,97,"4",NA,NA
"Male",180,73,"2",NA,NA
"Female",192,108,"3",NA,NA
"Male",165,80,"3",NA,NA
"Female",167,135,"5",NA,NA
"Female",182,84,"3",NA,NA
"Female",161,134,"5",NA,NA
"Male",158,95,"4",NA,NA
"Male",141,85,"5",NA,NA
"Male",154,100,"5",NA,NA
"Male",165,105,"4",NA,NA
"Female",142,137,"5",NA,NA
"Male",141,94,"5",NA,NA
"Male",145,108,"5",NA,NA
"Male",157,74,"4",NA,NA
"Female",177,117,"4",NA,NA
"Female",166,144,"5",NA,NA
"Male",193,151,"5",NA,NA
"Male",184,57,"1",NA,NA
"Male",179,93,"3",NA,NA
"Female",156,89,"4",NA,NA
"Male",182,104,"4",NA,NA
"Male",145,160,"5",NA,NA
"Female",150,87,"4",NA,NA
"Male",145,99,"5",NA,NA
"Female",196,122,"4",NA,NA
"Male",191,96,"3",NA,NA
"Female",148,67,"4",NA,NA
"Female",150,84,"4",NA,NA
"Male",148,155,"5",NA,NA
"Female",153,146,"5",NA,NA
"Female",196,159,"5",NA,NA
"Female",185,52,"0",NA,NA
"Female",171,131,"5",NA,NA
"Female",143,118,"5",NA,NA
"Female",142,86,"5",NA,NA
"Female",141,126,"5",NA,NA
"Male",159,109,"5",NA,NA
"Female",173,82,"2",NA,NA
"Male",183,138,"5",NA,NA
"Female",152,90,"4",NA,NA
"Male",178,140,"5",NA,NA
"Male",188,54,"0",NA,NA
"Female",155,144,"5",NA,NA
"Male",166,70,"3",NA,NA
"Male",188,123,"4",NA,NA
"Female",171,120,"5",NA,NA
"Male",179,130,"5",NA,NA
"Female",186,137,"4",NA,NA
"Female",153,78,"2",NA,NA
"Female",184,86,"3",NA,NA
"Female",177,81,"3",NA,NA
"Male",145,78,"4",NA,NA
"Male",170,81,"3",NA,NA
"Male",181,141,"5",NA,NA
"Male",165,155,"5",NA,NA
"Female",174,65,"2",NA,NA
"Female",146,110,"5",NA,NA
"Male",178,85,"3",NA,NA
"Male",166,61,"2",NA,NA
"Male",191,62,"1",NA,NA
"Female",177,155,"5",NA,NA
"Female",183,50,"0",NA,NA
"Male",151,114,"5",NA,NA
"Male",182,98,"3",NA,NA
"Female",142,159,"5",NA,NA
"Female",188,90,"3",NA,NA
"Male",161,89,"4",NA,NA
"Male",153,70,"3",NA,NA
"Male",140,143,"5",NA,NA
"Male",169,141,"5",NA,NA
"Female",162,159,"5",NA,NA
"Male",183,147,"5",NA,NA
"Female",162,58,"2",NA,NA
"Female",172,109,"4",NA,NA
"Female",150,119,"5",NA,NA
"Female",169,145,"5",NA,NA
"Female",184,132,"4",NA,NA
"Male",159,104,"5",NA,NA
"Male",163,131,"5",NA,NA
"Male",156,137,"5",NA,NA
"Female",157,52,"2",NA,NA
"Male",147,84,"4",NA,NA
"Male",141,86,"5",NA,NA
"Male",173,139,"5",NA,NA
"Male",154,145,"5",NA,NA
"Male",168,148,"5",NA,NA
"Male",168,50,"1",NA,NA
"Male",145,130,"5",NA,NA
"Male",152,103,"5",NA,NA
"Female",187,121,"4",NA,NA
"Female",163,57,"0",NA,NA
"Male",178,83,"3",NA,NA
"Female",187,94,"3",NA,NA
"Female",179,114,"4",NA,NA
"Male",190,80,"2",NA,NA
"Male",172,75,"3",NA,NA
"Male",188,57,"1",NA,NA
"Male",193,65,"1",NA,NA
"Female",147,126,"5",NA,NA
"Female",147,94,"5",NA,NA
"Male",166,107,"4",NA,NA
"Female",192,139,"4",NA,NA
"Male",181,139,"4",NA,NA
"Male",150,74,"4",NA,NA
"Male",178,160,"5",NA,NA
"Female",156,52,"2",NA,NA
"Male",149,100,"5",NA,NA
"Male",156,74,"4",NA,NA
"Male",183,105,"3",NA,NA
"Female",162,68,"3",NA,NA
"Female",165,83,"4",NA,NA
"Female",168,143,"5",NA,NA
"Male",160,156,"5",NA,NA
"Female",169,88,"2",NA,NA
"Female",140,76,"4",NA,NA
"Female",187,92,"3",NA,NA
"Male",151,82,"4",NA,NA
"Female",186,140,"5",NA,NA
"Male",182,108,"4",NA,NA
"Male",188,81,"2",NA,NA
"Male",179,110,"4",NA,NA
"Female",156,126,"5",NA,NA
"Male",188,114,"4",NA,NA
"Male",183,153,"5",NA,NA
"Male",144,88,"5",NA,NA
"Male",196,69,"1",NA,NA
"Male",171,141,"5",NA,NA
"Male",171,147,"5",NA,NA
"Female",180,156,"5",NA,NA
"Male",191,146,"5",NA,NA
